20-01-2025 12:39:42,Mercado ovr 86, -12.74%
20-01-2025 12:41:24,Mercado Geral, 2.35%
20-01-2025 12:42:11,Mercado ovr 86, -10.74%
20-01-2025 12:50:30,Mercado Geral, 2.93%
20-01-2025 12:51:44,Mercado ovr 89, 2.15%
20-01-2025 12:51:50,Mercado ovr 88, 3.51%
20-01-2025 12:51:53,Mercado ovr 87, -0.04%
20-01-2025 12:51:55,Mercado ovr 86, -12.48%
20-01-2025 12:52:02,Mercado ovr 85, 0.23%
20-01-2025 12:58:26,Mercado Geral, 2.70%
20-01-2025 12:59:23,Mercado ovr 89, 1.54%
20-01-2025 12:59:26,Mercado ovr 88, 2.13%
20-01-2025 12:59:29,Mercado ovr 87, -0.28%
20-01-2025 12:59:34,Mercado ovr 86, -13.30%
20-01-2025 12:59:37,Mercado ovr 85, -3.39%
20-01-2025 13:02:42,Mercado Geral, 3.01%
20-01-2025 13:03:37,Mercado ovr 89, 1.06%
20-01-2025 13:03:40,Mercado ovr 88, 2.01%
20-01-2025 13:03:43,Mercado ovr 87, 2.25%
20-01-2025 13:03:46,Mercado ovr 86, -13.79%
20-01-2025 13:03:49,Mercado ovr 85, 0.50%
20-01-2025 13:04:33,Mercado Geral, 2.94%
20-01-2025 13:05:06,Mercado ovr 89, 1.66%
20-01-2025 13:05:09,Mercado ovr 88, 1.91%
20-01-2025 13:05:12,Mercado ovr 87, 1.88%
20-01-2025 13:05:15,Mercado ovr 86, -12.24%
20-01-2025 13:05:20,Mercado ovr 85, 0.20%
20-01-2025 13:11:45,Mercado Geral, 2.99%
20-01-2025 13:12:36,Mercado ovr 89, 7.00%
20-01-2025 13:12:40,Mercado ovr 88, 2.01%
20-01-2025 13:12:43,Mercado ovr 87, -0.68%
20-01-2025 13:12:48,Mercado ovr 86, -13.68%
20-01-2025 13:12:54,Mercado ovr 85, -0.90%
20-01-2025 13:13:57,Mercado Geral, 3.15%
20-01-2025 13:14:05,Mercado ovr 89, 7.50%
20-01-2025 13:14:08,Mercado ovr 88, 2.55%
20-01-2025 13:14:11,Mercado ovr 87, -0.57%
20-01-2025 13:14:15,Mercado ovr 86, -13.68%
20-01-2025 13:14:18,Mercado ovr 85, -0.94%
20-01-2025 13:14:22,Mercado ovr 84, 5.58%
20-01-2025 13:49:39,Mercado Geral, 3.06%
20-01-2025 13:49:57,Mercado ovr 89, 0.94%
20-01-2025 13:50:02,Mercado ovr 88, 1.17%
20-01-2025 13:50:07,Mercado ovr 87, -1.39%
20-01-2025 13:50:16,Mercado ovr 86, -11.79%
20-01-2025 13:50:20,Mercado ovr 85, -0.53%
20-01-2025 13:50:25,Mercado ovr 84, 3.11%
20-01-2025 14:52:45,Mercado ovr 84, 3.42%
20-01-2025 14:55:41,Mercado ovr 84, 4.53%
20-01-2025 14:55:48,Mercado ovr 84, 4.53%
20-01-2025 14:56:36,Mercado ovr 84, 4.79%
20-01-2025 15:00:19,Mercado ovr 84, 5.31%
20-01-2025 15:01:51,Mercado ovr 84, 5.45%
20-01-2025 15:03:23,Mercado ovr 84, 5.58%
20-01-2025 15:08:55,Mercado ovr 84, 5.23%
20-01-2025 15:12:37,Mercado ovr 84, 6.15%
20-01-2025 15:17:56,Mercado ovr 84, 6.66%
20-01-2025 15:26:15,Mercado ovr 84, 5.96%
"20/01/2025, 15:36:45",Market Watch Top 1,/en/fc25/player/rodrygo/248
"20/01/2025, 15:41:37",Market Watch Top 1,/en/fc25/player/rodrygo/248
"20/01/2025, 15:48:27",Top 1 Mais Vendido,/en/fc25/player/rodrygo/248
"20/01/2025, 15:48:33",Top 2 Mais Vendido,/en/fc25/player/neymar-jr/212
"20/01/2025, 15:48:37",Top 3 Mais Vendido,/en/fc25/player/josko-gvardiol/437
20-01-2025 15:49:58,Mercado Geral, 4.39%
20-01-2025 15:51:36,Mercado ovr 89, 2.42%
20-01-2025 15:51:44,Mercado ovr 88, 4.00%
20-01-2025 15:51:48,Mercado ovr 87, 5.54%
20-01-2025 15:51:51,Mercado ovr 86, 4.95%
20-01-2025 15:51:56,Mercado ovr 85, 4.58%
20-01-2025 15:52:29,Mercado ovr 84, 10.38%
"20/01/2025, 15:52:44",Top 1 Mais Vendido,/en/fc25/player/rodrygo/248
"20/01/2025, 15:52:49",Top 2 Mais Vendido,/en/fc25/player/neymar-jr/212
"20/01/2025, 15:52:53",Top 3 Mais Vendido,/en/fc25/player/gerard-moreno/420
20-01-2025 15:55:18,Mercado Geral, 3.31%
20-01-2025 15:56:55,Mercado ovr 89, 3.15%
20-01-2025 15:57:02,Mercado ovr 88, 4.73%
20-01-2025 15:57:07,Mercado ovr 87, 6.15%
20-01-2025 15:57:14,Mercado ovr 86, 10.26%
20-01-2025 15:57:18,Mercado ovr 85, 6.99%
20-01-2025 15:57:25,Mercado ovr 84, 10.32%
"20/01/2025, 15:57:37",Top 1 Mais Vendido,/en/fc25/player/rodrygo/248
"20/01/2025, 15:57:41",Top 2 Mais Vendido,/en/fc25/player/neymar-jr/212
"20/01/2025, 15:57:45",Top 3 Mais Vendido,/en/fc25/player/gerard-moreno/420
20-01-2025 17:47:51,Mercado Geral, 0.69%
20-01-2025 17:49:01,Mercado ovr 89, 2.82%
20-01-2025 17:49:05,Mercado ovr 88, 4.85%
20-01-2025 17:49:08,Mercado ovr 87, 1.50%
20-01-2025 17:49:12,Mercado ovr 86, 8.70%
20-01-2025 17:49:16,Mercado ovr 85, 3.86%
20-01-2025 17:49:23,Mercado ovr 84, 9.54%
"20/01/2025, 17:49:34",Top 1 Mais Vendido,/en/fc25/player/rodrygo/248
"20/01/2025, 17:49:37",Top 2 Mais Vendido,/en/fc25/player/neymar-jr/212
"20/01/2025, 17:49:40",Top 3 Mais Vendido,/en/fc25/player/linda-sembrant/670
20-01-2025 19:04:14,Mercado Geral, 2.67%
20-01-2025 19:05:13,Mercado ovr 89, 3.77%
20-01-2025 19:05:16,Mercado ovr 88, 8.19%
20-01-2025 19:05:21,Mercado ovr 87, 0.75%
20-01-2025 19:05:25,Mercado ovr 86, 11.08%
20-01-2025 19:05:29,Mercado ovr 85, 5.40%
20-01-2025 19:05:35,Mercado ovr 84, 7.28%
"20/01/2025, 19:05:41",Top 1 Mais Vendido,/en/fc25/player/rodrygo/248
"20/01/2025, 19:05:46",Top 2 Mais Vendido,/en/fc25/player/neymar-jr/212
"20/01/2025, 19:05:49",Top 3 Mais Vendido,/en/fc25/player/virgil-van-dijk/49
